Normalized_GP,Variants,Number_of_Variants,Total_Ship_To_Count,Total_Row_Count,Countries,Any_Normalization_Changed
AUSTRALIAN ROLLFORMING MANUFACTURERS,"['AUSTRALIAN ROLLFORMING MANUFACTURERS', 'AUSTRALIAN ROLLFORMING MANUFACTURERS PTY LTD']",2,2,2,[],True
AUTOPILOT,"['AUTOPILOT INC', 'AutoPilot Inc']",2,2,4,['United States Of America'],True
B AND R MACHINE,"['B AND R MACHINE', 'B AND R MACHINE INC']",2,2,4,['United States Of America'],True
B B AND H TOOL,"['B B AND H TOOL', 'B B AND H Tool Company']",2,2,4,['United States Of America'],True
BACKERWOODS MANUFACTURING,"['BACKERWOODS MANUFACTURING', 'Backerwoods Manufacturing']",2,2,3,['United States Of America'],False
BAE SYSTEMS,"['BAE SYSTEMS', 'BAE Systems']",2,2,4,['England'],False
BANNER METALS GROUP,"['Banner Metals Group', 'Banner Metals Group Inc']",2,2,3,['United States Of America'],True
BARCO STAMPING,"['BARCO STAMPING', 'BARCO STAMPING CO']",2,2,4,['United States Of America'],True
BAXTER HEALTHCARE,"['BAXTER HEALTHCARE', 'Baxter Healthcare Corp']",2,2,3,['United States Of America'],True
BEARINGS SERVICE OF PA,"['BEARINGS SERVICE COMPANY OF PA', 'Bearings Service Company of Pa']",2,2,3,['United States Of America'],True
BEAVER PETROLEUM,"['BEAVER PETROLEUM COMPANY INC', 'Beaver Petroleum Co']",2,2,3,['United States Of America'],True
