Global Parent,Ship_To_Count,Row_Count,GP_Country,Normalized_GP
HARTFORD TECHNOLOGY,5,8,United States Of America,HARTFORD TECHNOLOGY
HASKINS,5,14,United States Of America,HASKINS
HECKLER AND KOCH,5,9,Germany,HECKLER AND KOCH
HOLMAC CORPORATION,5,9,United States Of America,HOLMAC
HOWDEN,5,10,Scotland,HOWDEN
HOWMET AEROSPACE,5,6,United States Of America,HOWMET AEROSPACE
HUIYA TECHNOLOGY,5,12,China,HUIYA TECHNOLOGY
HUNAN XINJULI MACHINERY,5,9,China,HUNAN XINJULI MACHINERY
HUSKY INJECTION MOLDING,5,8,United States Of America,HUSKY INJECTION MOLDING
HUTCHINSON,5,8,France,HUTCHINSON
IEM POWER SYSTEMS,5,9,United States Of America,IEM POWER SYSTEMS
IMS GEAR,5,8,Germany,IMS GEAR
INGERSOLL RAND,5,9,Ireland,INGERSOLL RAND
INTERTEK,5,9,England,INTERTEK
ITS,5,6,Italy,ITS
KAWASAKI,5,10,Spain,KAWASAKI
KETTLE MORAINE COATINGS,5,9,United States Of America,KETTLE MORAINE COATINGS
KEWAUNEE SCIENTIFIC CORP,5,8,United States Of America,KEWAUNEE SCIENTIFIC
KLINGELNBERG,5,8,Germany,KLINGELNBERG
Kaba Ilco Corp,5,7,,KABA ILCO
Kamei,5,9,Japan,KAMEI
LAKE REGION MEDICAL,5,12,United States Of America,LAKE REGION MEDICAL
LEGGETT AND PLATT,5,9,United States Of America,LEGGETT AND PLATT
LUBRICANTES PARICIO,5,5,Spain,LUBRICANTES PARICIO
LUDOVIC TALON,5,5,,LUDOVIC TALON
MALUB,5,6,France,MALUB
MANITOU GROUP,5,10,France,MANITOU GROUP
MERCHANT METALS,5,8,United States Of America,MERCHANT METALS
MERITOR,5,9,United States Of America,MERITOR
METAL FINISHING SOLUTIONS,5,7,United States Of America,METAL FINISHING SOLUTIONS
METALCRAFT OF MAYVILLE,5,10,United States Of America,METALCRAFT OF MAYVILLE
METALTECNICA,5,13,Brazil,METALTECNICA
MISUMI GROUP,5,9,Japan,MISUMI GROUP
MITYLITE,5,12,United States Of America,MITYLITE
MORGAN ADVANCED MATERIALS,5,9,England,MORGAN ADVANCED MATERIALS
MUNDIAL,5,14,Brazil,MUNDIAL
NAGEL PRECISION,5,9,United States Of America,NAGEL PRECISION
NKT,5,6,Denmark,NKT
New_Cust_Plug,5,5,United States Of America,NEW_CUST_PLUG
ORKLI,5,6,Spain,ORKLI
PEISA,5,10,Mexico,PEISA
PROTERM GROUP,5,8,Slovenia,PROTERM GROUP
PYROTEK,5,9,United States Of America,PYROTEK
RAMPA,5,8,Germany,RAMPA
