Entity_ID,Representative,Members,Number_of_Variants,Ship_To_Count,Row_Count,Countries,Any_Normalization_Changed
E000052,SHAMROCK BOLT AND SCREW,SHAMROCK BOLT AND SCREW | Shamrock Bolt and Screw,2.0,5,10,United States Of America,False
E000050,MAINSTREAM ENGINEERING,MAINSTREAM ENGINEERING | Mainstream Engineering,2.0,5,10,United States Of America,False
E000049,LEONARD MACHINE,LEONARD MACHINE COMPANY | Leonard Machine,2.0,5,7,United States Of America,True
E000048,INDUSTRIAL TOOLING AND SUPPLY,Industrial Tooling and Supply | INDUSTRIAL TOOLING AND SUPPLY,2.0,5,14,United States Of America,False
E000047,HYDROMAT,HYDROMAT | Hydromat Inc,2.0,5,8,United States Of America,True
E000046,GEMELS,GEMELS SPA | GEMELS,2.0,5,12,Italy,True
E000045,EFD INDUCTION,EFD INDUCTION INC | EFD INDUCTION,2.0,5,9,Norway | United States Of America,True
E000044,CHROME DEPOSIT,CHROME DEPOSIT | Chrome Deposit Corp,2.0,5,8,United States Of America,True
E000043,BUTECH BLISS,BUTECH BLISS | BUTECH BLISS INC,2.0,5,6,United States Of America,True
E000042,BLACKHAWK INDUSTRIAL,BLACKHAWK INDUSTRIAL | BlackHawk Industrial,2.0,5,6,United States Of America,False
E000041,ALPENTECH,ALPENTECH SAS | ALPENTECH,2.0,5,6,France | United States Of America,True
E000040,PAS TECHNOLOGIES,PAS TECHNOLOGIES | PAS TECHNOLOGIES INC | PAS Technologies Inc,3.0,5,8,United States Of America,True
E000039,KERR LAKESIDE,KERR LAKESIDE | Kerr Lakeside Inc | Kerr Lakeside,3.0,5,7,United States Of America,True
E000038,GT TECHNOLOGIES,GT TECHNOLOGIES | GT TECHNOLOGIES INC | GT Technologies Inc,3.0,5,11,United States Of America,True
E000037,GEAR OF AMERICA,GEAR COMPANY OF AMERICA INC | GEAR CO OF AMERICA | Gear Company of America,3.0,5,12,United States Of America,True
E000036,FESTO,FESTO | FESTO CORPORATION | Festo Corp,3.0,5,8,Germany | United States Of America,True
E000035,BILMAR CNC,BILMAR CNC | Bilmar CNC | Bilmar CNC Inc,3.0,5,10,United States Of America,True
E000034,BASIC CARBIDE,BASIC CARBIDE | Basic Carbide | Basic Carbide Corporation,3.0,5,12,United States Of America,True
E000033,BARON CUTTING TOOLS,BARON CUTTING TOOLS | BARON CUTTING TOOLS INC | Baron Cutting Tools Inc,3.0,5,9,United States Of America,True
E000032,STANDRIDGE COLOR,STANDRIDGE COLOR | STANDRIDGE COLOR CORP | Standridge Color | Standridge Color Corp,4.0,5,9,United States Of America,True
E000815,DEAN BALDWIN PAINTING,DEAN BALDWIN PAINTING,,5,7,United States Of America,
E000816,DECO TOOL SUPPLY,DECO TOOL SUPPLY,,5,8,United States Of America,
E000817,DELTA AIR LINES,DELTA AIR LINES,,5,7,United States Of America,
E000818,DIXON VALVE AND COUPLING,DIXON VALVE AND COUPLING,,5,10,United States Of America,
E000907,ZWZ,ZWZ,,5,12,China,
E000906,YAMAMITSU OIL,Yamamitsu Oil,,5,11,Japan,
E000905,YOKOTA OIL,YOKOTA OIL,,5,5,Japan,
E000904,XIANLIDE,XIANLIDE,,5,16,China,
E000903,WIELAND GROUP,WIELAND GROUP,,5,7,Germany,
E000902,WESCO INTERNATIONAL,WESCO International,,5,7,United States Of America,
E000901,WEATHERFORD,WEATHERFORD,,5,10,United States Of America,
E000900,VEOLIA WATER TECHNOLOGIES SOLUTIONS,Veolia Water Technologies & Solutions,,5,6,United States Of America,
E000899,VIKING RANGE,VIKING RANGE,,5,9,United States Of America,
E000898,VALMONT,VALMONT,,5,9,United States Of America,
E000897,VALEO,VALEO,,5,5,France,
E000896,TTI,TTI,,5,7,United States Of America,
E000895,TRU TONE FINISHING,TRU TONE FINISHING,,5,10,United States Of America,
E000894,TECUMSEH,TECUMSEH,,5,5,Brazil,
E000893,TECHNOVA SWEDEN AB,TECHNOVA SWEDEN AB,,5,5,,
E000892,SUPFINA GRIESHABER,SUPFINA GRIESHABER,,5,6,Germany,
E000891,STILLWATER TECHNOLOGIES,STILLWATER TECHNOLOGIES,,5,8,United States Of America,
E000890,SORINEX EXERCISE EQUIPMENT,SORINEX EXERCISE EQUIPMENT,,5,13,United States Of America,
E000889,SOMECAB,SOMECAB,,5,5,France,
E000888,SIGNICAST,SIGNICAST,,5,30,United States Of America,
E000887,SHENZHEN XINRUNTONG,SHENZHEN XINRUNTONG,,5,12,China,
E000886,SECO TOOLS,SECO TOOLS,,5,7,Sweden,
E000885,SAW SYSTEMS,SAW SYSTEMS,,5,13,United States Of America,
E000884,RHENUS,RHENUS,,5,7,Germany,
E000883,REX,REX,,5,10,Brazil,
E000882,RETTIG,RETTIG,,5,8,Finland,
E000881,RENK,RENK,,5,8,Germany,
E000880,RAMSEY PRODUCTS,RAMSEY PRODUCTS CORPORATION,,5,7,United States Of America,
E000879,RAMPA,RAMPA,,5,8,Germany,
E000878,PYROTEK,PYROTEK,,5,9,United States Of America,
E000877,PROTERM GROUP,PROTERM GROUP,,5,8,Slovenia,
E000876,PEISA,PEISA,,5,10,Mexico,
E000875,ORKLI,ORKLI,,5,6,Spain,
E000874,NEW_CUST_PLUG,New_Cust_Plug,,5,5,United States Of America,
E000873,NKT,NKT,,5,6,Denmark,
E000872,NAGEL PRECISION,NAGEL PRECISION,,5,9,United States Of America,
E000871,MUNDIAL,MUNDIAL,,5,14,Brazil,
E000870,MORGAN ADVANCED MATERIALS,MORGAN ADVANCED MATERIALS,,5,9,England,
E000869,MITYLITE,MITYLITE,,5,12,United States Of America,
E000868,MISUMI GROUP,MISUMI GROUP,,5,9,Japan,
E000867,METALTECNICA,METALTECNICA,,5,13,Brazil,
