Entity_1,Representative_1,Members_1,Countries_1,Ship_To_1,Entity_2,Representative_2,Members_2,Countries_2,Ship_To_2,Confidence,Combined_Name_Length,Ratio,Partial_Ratio,Token_Sort,Token_Set,Total_Ship_To
E005981,CANADIAN BEARINGS,CANADIAN BEARINGS,Canada,1,E005982,CANADIAN BEARINGS MISSISSAUGA,CANADIAN BEARINGS MISSISSAUGA,Canada,1,Medium,46,73.9,100.0,73.9,100.0,2
E009558,HINDUSTAN PENCILS,HINDUSTAN PENCILS,India,1,E009559,HINDUSTAN PENCILS PRIVATE MWA,HINDUSTAN PENCILS PRIVATE LIMITED MWA,,1,Medium,46,73.9,100.0,73.9,100.0,2
E010028,INDORAMA VENTURES,INDORAMA VENTURES,Thailand,1,E010029,INDORAMA VENTURES ITALIAN VAT,INDORAMA VENTURES ITALIAN VAT,Spain,1,Medium,46,73.9,100.0,73.9,100.0,2
E017607,WEATHERLY CASTING,WEATHERLY CASTING,United States Of America,1,E017608,WEATHERLY CASTING AND MACHINE,WEATHERLY CASTING AND MACHINE,United States Of America,1,Medium,46,73.9,100.0,73.9,100.0,2
E007551,EASTERN,EASTERN,United States Of America,1,E007552,EASTERN ACID,EASTERN ACID,Japan,1,Medium,19,73.7,100.0,73.7,100.0,2
E008373,FLAME COATINGS,FLAME COATINGS,Australia,1,E008374,FLAME COATINGS INGLEBURN,FLAME COATINGS INGLEBURN,,1,Medium,38,73.7,100.0,73.7,100.0,2
E011598,LUOYANG GUOTAI,LUOYANG GUOTAI,,1,E011599,LUOYANG GUOTAI PRECISION,LUOYANG GUOTAI PRECISION,,1,Medium,38,73.7,100.0,73.7,100.0,2
E007163,DESIGN CONCEPTS AND ENTERPRISES,DESIGN CONCEPTS AND ENTERPRISES,United States Of America,1,E007164,DESIGN ENTERPRISES,DESIGN ENTERPRISES,United States Of America,1,Medium,49,73.5,83.9,73.5,100.0,2
E016317,TALLERES MECANICOS ARRI S COOPS,TALLERES MECANICOS ARRI S COOPS,Spain,1,E016316,TALLERES MECANICOS,TALLERES MECANICOS,Spain,1,Medium,49,73.5,100.0,73.5,100.0,2
E004390,AGRYMIN COMPONENTES,AGRYMIN COMPONENTES,Spain,1,E006588,COMPONENTES,COMPONENTES,Spain,1,Medium,30,73.3,100.0,73.3,100.0,2
